EV_D0	EV_D1	EV_D3	EV_D5	EV_D7	EV_D9	EV_D11	EV_D12	EV_D14	EV_D16	EV_D18	EV_D20	EV_D22	EV_D24	EV_D26	EV_D28	EV_D30
"x75"	0.374209011688493	0.267859602377514	0.472043675560284	0.457418418788641	0.525434549075665	0.487979144485178	0.493416984091138	0.258663108753006	0.476916294262332	0.541825329437672	0.560535718896482	0.722712806488708	-1.23069117141485	-1.27586086853116	-1.23433692260149	-0.855993207969977	-1.04213247338762
"x76"	0.988751246506175	0.786025726538054	0.945033976221071	0.927487057958246	0.834086300355734	0.513404080094072	0.193196712027876	0.27723366190206	0.308805883346058	0.307050667154329	-0.160668475577234	-0.810696793270968	-0.789040981720611	-0.933309686758904	-1.13900020080402	-1.35531165106829	-0.893047522903642
"x77"	0.0937727342638252	0.167455456284309	-0.359534197612314	-0.522392251657057	-0.0960072584260375	-0.194543722226452	-0.66907548369878	-1.54702269482436	-0.70519721222093	-0.407554766159956	0.0121019604502298	0.396005125045257	0.34326360250264	2.09630165009177	0.462439561311451	0.458227300015304	0.471760196861113
"x78"	0.467334639831423	0.763110143853157	0.562370047631504	0.451500936704609	-0.592550455651925	0.563625850153909	0.858942320996424	0.754522791745049	0.817181108669912	0.608291401795601	-0.572054561745889	-0.711041003735578	-0.793332974117983	-0.896363577645466	-0.891023198928666	-0.532912685122112	-0.857600784433976
"x79"	0.0385999608215794	-0.292794181276942	0.161928273607073	0.124523283628873	-0.209037757665583	0.479727852535965	0.490185438415934	0.270848283236178	0.435255285016418	0.237201442785493	-0.519327885370186	-0.737155283901743	1.10661924007767	-0.938101768291747	-0.88068044338079	1.11502861232186	-0.882820352560061
"x80"	0.363849477529931	0.393325546587772	0.106656965357303	0.122537069380868	0.181030106254247	0.272828999246566	0.184001742012271	-0.390154106984642	-0.0351487331324306	-0.0400858995517714	-0.42919555058088	-0.531706161065379	-0.824745755059056	-0.891230680323672	-1.02844931533797	1.25227080267494	1.2942154929919
"x81"	-0.569721763001653	-0.818769727758392	-0.56170442777774	-0.532863114663901	-0.575460949531905	-0.350726530487575	0.14169961516865	0.167706848351064	0.572785278023199	0.738402515351985	0.374386765244631	0.248840588765245	0.551915679410949	0.40274158205116	0.643156285455008	-1.05546098206602	0.623072337465321
"x82"	0.209904407682905	0.149104645080453	-0.0363356405813514	-0.117753197836057	0.210252421736972	-0.200672160194418	-0.0893347292363256	-0.620909229959872	-0.229300631987422	0.0170961164668362	0.174900424282803	0.162853337256148	-0.719071598308748	-1.00274930966474	1.48323646038354	-0.623711225045656	1.23248990992491
"x83"	0.215043842184874	0.0820712584279422	0.286334071731684	0.288988085099889	0.217362619737694	0.152107328928398	0.379083002448257	0.266031637708958	0.477646866906233	0.4820467859563	0.295295465922335	-0.129599425510348	0.00639699633315751	-2.29964530322185	0.419995815469086	-1.40024602835135	0.261086980228751
"x84"	0.166482200538714	0.21118992986243	-0.395937856358089	-0.548182954517635	-0.00951137844673483	-0.299379409799564	-0.770341739406093	-1.82398336200389	-0.893906201478787	-0.501696836011078	1.39278592565573	0.536681016372141	0.543956212091577	0.495695090591453	0.627897068718207	0.752022967571236	0.516229326620375
"x85"	0.318540322875462	0.126221778300689	0.167934657774998	-0.095381609350586	0.193174948771436	-0.264726704782915	-0.0367459131535529	-0.279845611853091	-0.00692569881427758	0.0420826217692519	-0.63550732628768	-0.595608229136058	1.22710189051488	-0.856572787895569	1.47172276242908	-0.782779492149668	0.00731439098760173
"x86"	0.253506602588316	0.407641421634544	-0.0461590673037828	-0.12656317288991	0.101628929108769	-0.144140843753459	-0.209718471888234	-0.977884753091634	-0.437145114748189	-0.388302044106278	-0.0908788425659241	-0.875566080520831	0.355183440249386	-1.08052740684184	1.3203390959343	0.941860449190451	0.996725859004317
"x87"	0.00616735326186459	0.132648607936893	0.0796052894355982	-0.0620250589971893	0.0449715150161122	-0.0319100471918244	0.00933020057126565	-0.103983309223215	0.0908475089079808	0.301249732850163	0.130884417121951	-1.88124313168096	-0.166446109945281	0.772428162526742	0.837886974381066	-0.403276977448807	0.242864872477638
"x88"	0.237625440485812	0.120356154375767	-0.160694032238501	-0.238022126039664	0.0814089805581797	-0.0327553993126584	-0.0492393880699816	-0.648462678359607	-0.374070646455151	-0.17585525485613	-0.754264506015956	0.886846724250425	0.928204134945037	-0.934513992700977	1.45333380890451	0.490076232857024	-0.829973452328138
"x89"	0.380653189366279	0.516475971586495	0.0397082358266075	0.0701407121927379	0.125024033826757	-0.0547018977010325	-0.0777481602535048	-0.49584611466818	-0.0936210201049878	-0.122675476478907	-0.249702768341404	1.10866030918402	-0.906881570292388	1.44673398144051	-0.797343846052037	-0.00175104433940493	-0.887124535191604
